Monat;Alle Fahrzeuge;BMW i3 (Sinzing);Nissan LEAF ZE1 (Hainsacker);Nissan LEAF ZE1 (Lappersdorf);VW e-Golf (Pettendorf);VW ID.3 Pro (Alteglofsheim);VW ID.3 Pro (Donaustauf);VW ID.3 Pro (Köfering);VW ID.3 Pro (Laaber);VW ID.3 Pro (Neutraubling);VW ID.3 Pro (Nittendorf);VW ID.3 Pro (Pentling);VW ID.3 Pro (Regenstauf);VW ID.3 Pro (Schierling);VW ID.3 Pro (Sünching);VW ID.3 Pro (Wenzenbach)
31.01.2025;6254;177;35;300;49;177;245;252;1121;474;2102;387;199;497;0;239
28.02.2025;10634;591;408;949;0;316;834;716;1507;841;1916;1171;968;45;0;372
31.03.2025;9365;478;433;511;44;167;975;410;368;1571;1314;447;2197;43;0;407
30.04.2025;7963;471;344;207;157;111;1153;130;524;1524;629;1752;498;109;0;354
31.05.2025;7448;340;96;704;250;32;1254;275;151;1452;1551;578;520;159;0;86
30.06.2025;7878;483;17;798;274;277;441;340;241;823;925;941;1976;205;0;137
31.07.2025;10522;986;358;416;703;137;595;523;475;1111;2106;1537;1306;52;0;217
31.08.2025;7769;934;18;485;406;150;452;428;75;968;979;1308;1175;212;0;179
30.09.2025;8694;548;645;1093;230;200;565;152;398;1338;73;954;1702;551;0;245
31.10.2025;7948;375;456;1093;0;292;721;226;239;738;886;1332;1000;0;0;590
30.11.2025;10106;610;1218;1413;69;215;1103;317;260;504;1353;1518;974;0;0;552
31.12.2025;7208;928;302;786;152;44;1125;50;514;1296;229;1322;374;49;0;37
31.01.2026;6046;124;588;755;87;421;881;29;429;943;0;1091;534;106;0;58
28.02.2026;5652;204;499;733;0;0;428;1022;603;706;393;328;612;124;0;0
31.03.2026;6729;973;396;806;0;65;392;496;504;491;308;47;1331;46;0;874
