Stationsname,Summe_Fahrtkosten_2026,Summe_Fahrtkosten_R2,Summe_Fahrtkosten_abzgl_Guthaben_R2,Summe_Fahrtkosten_abzgl_Guthaben_2026,Anzahl_Fahrten_2026,Anzahl_Fahrten_Trend_monat,Anzahl_Fahrten_R2,Summe_Stunden_2026,Summe_Stunden_Trend_monat,Summe_Stunden_R2,Summe_KM_2026,Summe_KM_Trend_monat,Summe_KM_R2
Alteglofsheim,473.16,0.098,0.381,175.15,37.72,0.015,0.001,7.15,-1.35,0.293,2233.86,3.87,0.04
Donaustauf,3226.09,0.038,0.38,1654.74,223.42,0.399,0.128,322.86,-2.23,0.117,7969.81,-3.521,0.004
Hainsacker,2931.46,0.178,0.405,1390.84,136.7,0.463,0.185,170.82,-0.201,0.004,8683.53,34.873,0.339
Köfering,2553.52,0.019,0.224,1209.21,69.8,0.09,0.029,265.25,-0.681,0.015,8872.41,26.668,0.183
Laaber,1560.09,0.06,0.447,736.7,180.4,-0.018,0.0,166.67,-1.898,0.148,6250.18,-8.669,0.015
Lappersdorf,6837.33,0.219,0.096,3190.94,281.05,0.89,0.319,638.68,-0.159,0.0,13773.33,39.63,0.279
Neutraubling,4914.0,0.103,0.052,2275.64,235.33,0.143,0.035,362.23,-8.807,0.46,14351.81,13.965,0.031
Nittendorf,899.6,0.535,0.406,253.43,22.63,-0.985,0.519,36.69,-10.592,0.551,2165.61,-93.49,0.459
Pentling,571.93,0.109,0.947,512.31,92.16,-0.451,0.081,321.98,-3.494,0.103,5655.34,-30.674,0.07
Pettendorf,31.36,0.229,0.999,31.36,5.89,-0.257,0.139,5.73,-2.551,0.178,184.21,-20.877,0.203
Regenstauf,3733.73,0.007,0.383,1657.91,125.87,0.063,0.005,165.44,-2.706,0.214,11678.57,-4.247,0.001
Schierling,398.04,0.039,0.8,278.9,13.69,-0.077,0.04,90.25,-0.131,0.002,596.38,-12.835,0.087
Sinzing,4301.01,0.063,0.33,1760.54,186.24,0.411,0.072,239.12,-0.87,0.025,12256.94,41.226,0.18
Wenzenbach,2447.3,0.007,0.583,1082.8,51.28,-0.089,0.02,250.27,-1.144,0.036,5202.88,12.623,0.035
